"","城市","2004白血病男","2004非何杰金氏淋巴瘤男","2004肺、支氣管及氣管癌男","2004肝和肝內膽管癌男","2004結腸癌男","2004口腔、口咽及下咽癌男","2004女性乳房癌男","2004攝護腺癌男","2004食道癌男","2004胃癌男","2004胰臟癌男","2004直腸和肛門癌男","2004子宮頸癌男","2005白血病男","2005非何杰金氏淋巴瘤男","2005肺、支氣管及氣管癌男","2005肝和肝內膽管癌男","2005結腸癌男","2005口腔、口咽及下咽癌男","2005女性乳房癌男","2005攝護腺癌男","2005食道癌男","2005胃癌男","2005胰臟癌男","2005直腸和肛門癌男","2005子宮頸癌男","2006白血病男","2006非何杰金氏淋巴瘤男","2006肺、支氣管及氣管癌男","2006肝和肝內膽管癌男","2006結腸癌男","2006口腔、口咽及下咽癌男","2006女性乳房癌男","2006攝護腺癌男","2006食道癌男","2006胃癌男","2006胰臟癌男","2006直腸和肛門癌男","2006子宮頸癌男","2007白血病男","2007非何杰金氏淋巴瘤男","2007肺、支氣管及氣管癌男","2007肝和肝內膽管癌男","2007結腸癌男","2007口腔、口咽及下咽癌男","2007女性乳房癌男","2007攝護腺癌男","2007食道癌男","2007胃癌男","2007胰臟癌男","2007直腸和肛門癌男","2007子宮頸癌男","2008白血病男","2008非何杰金氏淋巴瘤男","2008肺、支氣管及氣管癌男","2008肝和肝內膽管癌男","2008結腸癌男","2008口腔、口咽及下咽癌男","2008女性乳房癌男","2008攝護腺癌男","2008食道癌男","2008胃癌男","2008胰臟癌男","2008直腸和肛門癌男","2008子宮頸癌男","2009白血病男","2009非何杰金氏淋巴瘤男","2009肺、支氣管及氣管癌男","2009肝和肝內膽管癌男","2009結腸癌男","2009口腔、口咽及下咽癌男","2009女性乳房癌男","2009攝護腺癌男","2009食道癌男","2009胃癌男","2009胰臟癌男","2009直腸和肛門癌男","2009子宮頸癌男","2010白血病男","2010非何杰金氏淋巴瘤男","2010肺、支氣管及氣管癌男","2010肝和肝內膽管癌男","2010結腸癌男","2010口腔、口咽及下咽癌男","2010女性乳房癌男","2010攝護腺癌男","2010食道癌男","2010胃癌男","2010胰臟癌男","2010直腸和肛門癌男","2010子宮頸癌男","2011白血病男","2011非何杰金氏淋巴瘤男","2011肺、支氣管及氣管癌男","2011肝和肝內膽管癌男","2011結腸癌男","2011口腔、口咽及下咽癌男","2011女性乳房癌男","2011攝護腺癌男","2011食道癌男","2011胃癌男","2011胰臟癌男","2011直腸和肛門癌男","2011子宮頸癌男","2012白血病男","2012非何杰金氏淋巴瘤男","2012肺、支氣管及氣管癌男","2012肝和肝內膽管癌男","2012結腸癌男","2012口腔、口咽及下咽癌男","2012女性乳房癌男","2012攝護腺癌男","2012食道癌男","2012胃癌男","2012胰臟癌男","2012直腸和肛門癌男","2012子宮頸癌男","2013白血病男","2013非何杰金氏淋巴瘤男","2013肺、支氣管及氣管癌男","2013肝和肝內膽管癌男","2013結腸癌男","2013口腔、口咽及下咽癌男","2013女性乳房癌男","2013攝護腺癌男","2013食道癌男","2013胃癌男","2013胰臟癌男","2013直腸和肛門癌男","2013子宮頸癌男","2014白血病男","2014非何杰金氏淋巴瘤男","2014肺、支氣管及氣管癌男","2014肝和肝內膽管癌男","2014結腸癌男","2014口腔、口咽及下咽癌男","2014女性乳房癌男","2014攝護腺癌男","2014食道癌男","2014胃癌男","2014胰臟癌男","2014直腸和肛門癌男","2014子宮頸癌男"
"1","嘉義市東區","51,477.50","87,921.75","99,667.87","59,842.78","55,110.96","40,587.19","#DIV/0!","48,771.40","228,124.56","74,176.70","109,376.20","","#DIV/0!","151,899.75","164,494.00","100,132.35","52,657.98","50,100.33","191,761.11","#DIV/0!","63,169.78","48,062.50","92,421.13","143,290.20","","#DIV/0!","113,926.33","70,423.25","120,426.55","42,064.29","54,717.07","56,970.57","#DIV/0!","79,853.26","181,371.88","118,112.05","192,245.43","","#DIV/0!","219,256.10","192,695.79","105,243.49","60,128.50","63,448.40","103,684.85","#DIV/0!","86,129.77","84,420.33","80,532.15","76,469.83","","#DIV/0!","46,875.67","175,443.56","110,589.95","76,560.86","","115,741.51","#DIV/0!","76,225.61","128,457.71","85,518.07","110,232.75","56,262.84","#DIV/0!","71,692.78","99,874.18","149,997.52","69,089.96","","141,002.76","#DIV/0!","56,864.05","100,746.67","107,408.36","35,499.56","78,754.13","#DIV/0!","134,269.10","159,834.08","156,212.19","56,632.65","","130,605.93","#DIV/0!","45,281.89","56,566.44","99,149.57","60,434.45","82,182.73","#DIV/0!","171,257.60","53,665.33","77,726.73","55,506.53","","101,945.00","#DIV/0!","52,053.39","86,732.60","74,410.29","3,624.71","53,390.13","#DIV/0!","260,829.20","85,920.89","115,860.27","87,258.23","","58,376.20","#DIV/0!","50,924.90","62,521.60","62,142.13","36,127.29","69,810.85","#DIV/0!","315,167.29","182,786.69","148,992.59","114,700.86","","114,518.39","#DIV/0!","48,694.91","33,481.56","99,521.50","68,940.64","74,924.76","#DIV/0!","247,085.36","98,753.03","117,617.96","111,705.13","","85,604.81","#DIV/0!","55,324.47","70,701.75","65,403.09","94,311.44","60,986.12","#DIV/0!"
"2","嘉義市西區","189,487.67","195,357.60","61,110.56","64,853.78","70,248.07","114,600.91","#DIV/0!","78,089.36","99,159.33","58,871.50","76,849.60","","#DIV/0!","111,854.40","183,944.11","101,144.75","70,023.09","58,936.83","135,099.03","#DIV/0!","89,881.42","153,193.55","51,354.88","85,468.50","","#DIV/0!","21,176.43","49,235.89","122,163.46","56,073.16","66,271.40","89,744.68","#DIV/0!","85,997.23","104,733.22","61,068.11","13,593.64","","#DIV/0!","32,716.00","62,386.69","97,947.82","75,970.37","65,416.99","109,352.31","#DIV/0!","64,206.18","80,570.08","73,431.77","104,849.38","","#DIV/0!","96,317.91","281,681.80","144,826.83","60,474.91","","129,493.57","#DIV/0!","66,121.23","73,081.17","54,338.12","123,554.40","61,091.15","#DIV/0!","18,165.29","204,524.21","76,807.84","62,929.68","","161,167.47","#DIV/0!","66,481.91","178,068.41","37,604.97","106,570.93","73,909.68","#DIV/0!","288,939.71","128,451.82","83,147.39","69,871.72","","125,567.13","#DIV/0!","56,040.28","62,927.88","41,296.66","70,750.29","72,310.04","#DIV/0!","77,150.40","123,047.00","96,613.65","60,559.28","","86,329.24","#DIV/0!","50,980.74","217,736.25","75,559.00","77,549.25","51,085.69","#DIV/0!","146,812.43","116,787.12","155,979.12","70,810.76","","72,428.14","#DIV/0!","61,609.87","43,388.83","148,256.26","107,463.00","48,971.59","#DIV/0!","266,696.63","103,143.31","150,260.83","96,873.94","","84,659.79","#DIV/0!","67,128.89","83,099.67","82,379.43","97,094.75","79,686.88","#DIV/0!","193,236.27","201,695.38","153,626.85","115,442.88","","59,227.97","#DIV/0!","75,179.85","101,371.38","50,025.41","91,815.50","48,792.23","#DIV/0!"
"3","嘉義縣阿里山鄉","#DIV/0!","69,525.00","2,070.00","1,863.40","15,490.00","#DIV/0!","#DIV/0!","142,973.00","#DIV/0!","106.5","#DIV/0!","","#DIV/0!","#DIV/0!","#DIV/0!","518.4","56,502.50","73,126.00","#DIV/0!","#DIV/0!","115,469.50","#DIV/0!","102,630.75","0","","#DIV/0!","#DIV/0!","#DIV/0!","46,539.43","41,879.25","42,094.00","#DIV/0!","#DIV/0!","88,429.50","#DIV/0!","454,293.00","#DIV/0!","","#DIV/0!","#DIV/0!","#DIV/0!","46,315.83","89,414.33","73,030.50","#DIV/0!","#DIV/0!","172,570.67","#DIV/0!","0","#DIV/0!","","#DIV/0!","#DIV/0!","#DIV/0!","303,296.50","88,183.67","","465,339.00","#DIV/0!","37,253.75","#DIV/0!","79,488.00","#DIV/0!","25,192.75","#DIV/0!","#DIV/0!","#DIV/0!","144,310.67","50,597.00","","133,337.00","#DIV/0!","43,644.00","#DIV/0!","#DIV/0!","#DIV/0!","37,099.67","#DIV/0!","#DIV/0!","1,143.00","4,627.67","36,879.67","","1,910.00","#DIV/0!","50,128.57","#DIV/0!","2,992.00","#DIV/0!","95,545.75","#DIV/0!","#DIV/0!","115,758.00","42,942.25","54,376.75","","0","#DIV/0!","75,240.29","#DIV/0!","#DIV/0!","#DIV/0!","10,289.25","#DIV/0!","#DIV/0!","8,316.00","103,396.00","182,214.50","","21,871.00","#DIV/0!","50,258.63","#DIV/0!","#DIV/0!","#DIV/0!","592.33","#DIV/0!","#DIV/0!","11,786.00","112,052.17","50,567.25","","14,686.00","#DIV/0!","45,168.30","281,114.00","0","#DIV/0!","2,083.20","#DIV/0!","#DIV/0!","366,994.50","141,108.75","44,725.50","","4,480.00","#DIV/0!","91,611.70","53,837.00","190,991.00","#DIV/0!","49,386.25","#DIV/0!"
"4","嘉義縣布袋鎮","149,025.33","158,201.00","77,888.62","47,546.34","58,137.65","95,206.57","#DIV/0!","69,447.48","7,215.67","191,751.50","46,974.38","","#DIV/0!","#DIV/0!","23,532.75","119,262.44","60,739.86","50,710.15","68,621.38","#DIV/0!","45,504.38","194,449.67","85,856.80","14,156.00","","#DIV/0!","174,237.00","84,443.80","164,443.41","51,769.04","72,700.31","78,897.08","#DIV/0!","63,382.87","177,009.67","97,737.40","39,612.00","","#DIV/0!","320,136.00","180,287.80","94,095.62","56,254.60","92,541.22","92,536.56","#DIV/0!","61,126.72","71,365.00","73,423.67","142,185.50","","#DIV/0!","#DIV/0!","18,960.88","146,831.58","58,659.83","","120,001.67","#DIV/0!","68,719.19","114,969.50","55,237.81","195,439.40","82,747.71","#DIV/0!","267,181.50","74,132.00","192,369.53","37,080.13","","126,662.37","#DIV/0!","55,511.16","89,217.25","50,216.70","122,512.43","67,606.61","#DIV/0!","183,530.00","83,940.50","139,598.02","44,222.29","","134,072.10","#DIV/0!","53,586.96","54,940.50","62,194.89","98,061.75","66,454.48","#DIV/0!","308,469.00","54,991.20","151,576.56","51,281.60","","67,583.28","#DIV/0!","49,734.81","72,028.33","56,799.00","13,067.67","53,814.36","#DIV/0!","326,107.00","186,906.60","101,600.85","26,966.12","","70,552.87","#DIV/0!","47,846.36","73,693.20","9,393.53","11,271.33","55,033.38","#DIV/0!","0","250,492.25","150,496.87","57,111.23","","99,659.42","#DIV/0!","70,445.59","129,706.00","25,094.65","103,553.50","70,749.87","#DIV/0!","183,121.67","109,735.00","101,787.00","52,345.84","","71,526.19","#DIV/0!","53,257.71","72,442.71","43,686.50","#DIV/0!","41,261.63","#DIV/0!"
"5","嘉義縣大埔鄉","#DIV/0!","#DIV/0!","4,279.00","83,390.50","19,931.00","147,611.50","#DIV/0!","81,776.33","64,352.50","9,426.00","#DIV/0!","","#DIV/0!","#DIV/0!","#DIV/0!","49,743.43","55,946.50","993","8,877.00","#DIV/0!","63,794.50","27,010.50","37,561.00","#DIV/0!","","#DIV/0!","#DIV/0!","#DIV/0!","99,988.00","82,286.33","19,081.00","381,361.00","#DIV/0!","36,907.00","#DIV/0!","17,387.00","#DIV/0!","","#DIV/0!","#DIV/0!","#DIV/0!","130,616.25","86,976.25","1,589.50","205,038.00","#DIV/0!","697.5","4,034.50","28,130.00","0","","#DIV/0!","#DIV/0!","#DIV/0!","370,548.50","196,530.33","","41,961.00","#DIV/0!","194,454.50","4,037.50","26,560.00","#DIV/0!","259,026.33","#DIV/0!","#DIV/0!","#DIV/0!","128,035.50","57,778.50","","145,817.33","#DIV/0!","20,536.50","2,995.00","15,849.00","#DIV/0!","145,145.50","#DIV/0!","567,188.50","#DIV/0!","345,738.50","190,700.67","","41,676.40","#DIV/0!","437,146.00","29,434.00","147,690.00","4,579.00","94,791.25","#DIV/0!","#DIV/0!","#DIV/0!","2,342.00","183,409.33","","309,603.20","#DIV/0!","#DIV/0!","223,239.50","76,496.00","#DIV/0!","5,821.29","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","206,684.00","","258,446.33","#DIV/0!","#DIV/0!","1,648.00","22,429.00","#DIV/0!","3,201.67","#DIV/0!","#DIV/0!","#DIV/0!","96,025.50","22,106.00","","294,802.00","#DIV/0!","40,251.50","7,811.00","370","#DIV/0!","40,547.17","#DIV/0!","41,990.00","126,453.00","59,761.40","8,040.00","","70,658.00","#DIV/0!","103,715.00","19,227.00","#DIV/0!","#DIV/0!","58,870.80","#DIV/0!"
"6","嘉義縣大林鎮","473,428.25","91,045.20","187,996.25","66,402.37","98,726.96","103,467.45","#DIV/0!","78,215.41","73,472.60","81,326.64","175,084.00","","#DIV/0!","265,678.00","169,675.38","92,389.09","64,904.26","83,724.34","81,980.14","#DIV/0!","86,690.91","122,566.50","148,884.43","135,718.00","","#DIV/0!","558,689.00","72,948.88","98,612.73","42,543.46","80,284.08","170,271.67","#DIV/0!","139,674.52","161,855.00","64,374.00","83,767.00","","#DIV/0!","278,016.50","68,385.67","69,890.93","49,401.93","75,518.42","132,974.10","#DIV/0!","71,076.41","173,342.14","14,954.25","#DIV/0!","","#DIV/0!","380,616.00","181,521.00","102,422.82","66,172.56","","126,035.38","#DIV/0!","66,609.78","154,041.00","26,745.27","125,783.00","104,716.44","#DIV/0!","406,738.00","201,730.75","150,962.95","58,726.19","","105,139.08","#DIV/0!","69,156.33","107,829.40","94,049.12","231,033.50","53,870.57","#DIV/0!","757,875.00","189,957.30","101,133.71","55,625.38","","146,019.25","#DIV/0!","46,783.77","162,949.00","46,205.29","68,974.50","49,730.02","#DIV/0!","604,630.00","133,314.00","105,751.50","85,333.72","","121,222.36","#DIV/0!","62,561.46","65,987.00","68,131.30","116,945.00","75,601.29","#DIV/0!","315,570.50","135,439.75","104,640.27","84,665.62","","64,627.38","#DIV/0!","67,970.71","225,297.50","7,873.07","19,241.67","83,905.84","#DIV/0!","76,593.00","312,669.82","138,557.93","99,128.61","","121,409.83","#DIV/0!","62,133.08","351,331.40","69,096.24","190,517.14","112,271.97","#DIV/0!","87,676.00","239,497.17","183,742.45","68,156.57","","138,911.28","#DIV/0!","58,054.52","111,522.33","139,283.63","132,748.57","71,872.59","#DIV/0!"
"7","嘉義縣東石鄉","107,799.00","28,676.80","74,338.58","42,696.42","58,419.47","55,228.06","#DIV/0!","73,931.67","71,021.67","114,520.55","58,327.00","","#DIV/0!","115,744.50","18,452.29","44,184.27","51,147.12","107,521.44","244,459.17","#DIV/0!","45,301.00","179,886.00","95,631.85","534.5","","#DIV/0!","227,232.00","31,283.38","120,022.72","61,670.06","73,476.49","117,159.25","#DIV/0!","29,968.08","66,817.33","53,783.87","8,846.50","","#DIV/0!","98,774.00","54,071.14","85,902.65","54,321.07","72,868.00","40,428.29","#DIV/0!","39,949.38","79,499.00","60,937.17","71,879.33","","#DIV/0!","78,329.50","41,661.64","81,295.68","46,828.08","","112,378.60","#DIV/0!","44,507.98","294,006.83","108,169.59","7,777.67","51,113.00","#DIV/0!","54,763.50","112,651.33","97,631.58","65,637.47","","69,226.75","#DIV/0!","77,321.34","194,529.22","64,929.33","88,840.50","48,568.56","#DIV/0!","20,094.00","75,775.88","137,037.07","67,240.05","","98,284.74","#DIV/0!","53,988.07","196,571.17","79,966.33","53,335.71","66,230.58","#DIV/0!","4,014.33","171,110.33","166,444.21","40,151.35","","66,053.13","#DIV/0!","66,790.08","94,182.33","89,694.19","114","50,264.09","#DIV/0!","3,394.00","226,850.50","141,884.00","49,855.74","","76,418.37","#DIV/0!","70,781.00","14,264.33","122,753.86","1,642.00","55,723.27","#DIV/0!","4,350.50","207,444.30","154,200.97","72,469.10","","92,124.09","#DIV/0!","62,281.96","76,530.00","70,636.19","8,115.00","39,192.85","#DIV/0!","62,693.50","231,709.40","151,575.87","67,277.14","","108,012.60","#DIV/0!","47,616.55","195,159.60","112,320.00","3,434.67","49,912.86","#DIV/0!"
"8","嘉義縣番路鄉","424,756.50","420","88,009.00","105,570.92","100,234.67","180,457.38","#DIV/0!","181,242.00","#DIV/0!","7,531.33","#DIV/0!","","#DIV/0!","382,714.00","53,214.67","69,623.33","22,703.22","25,758.11","120,260.63","#DIV/0!","107,469.33","5,880.00","4,370.00","#DIV/0!","","#DIV/0!","2,623.00","0","47,212.20","43,287.50","82,716.50","25,678.00","#DIV/0!","105,008.00","0","4,477.50","862","","#DIV/0!","5,459.67","94,888.00","38,210.56","76,685.58","55,338.92","84,877.00","#DIV/0!","55,392.63","0","117,024.25","16,345.50","","#DIV/0!","1,239.00","0","117,506.11","47,409.67","","105,166.73","#DIV/0!","20,358.20","#DIV/0!","2,232.00","0","63,780.85","#DIV/0!","#DIV/0!","#DIV/0!","146,069.44","110,856.25","","49,344.82","#DIV/0!","19,909.50","#DIV/0!","3,010.00","0","66,848.94","#DIV/0!","297,333.00","#DIV/0!","54,907.00","44,558.30","","89,368.20","#DIV/0!","74,396.82","#DIV/0!","2,552.50","2,206.50","69,745.00","#DIV/0!","523,128.00","17,264.00","71,347.40","67,167.00","","108,312.00","#DIV/0!","36,222.92","554,782.00","3,318.00","0","32,699.35","#DIV/0!","0","6,447.50","109,969.70","105,405.31","","54,068.62","#DIV/0!","72,033.16","67,159.67","138,141.00","#DIV/0!","27,185.21","#DIV/0!","#DIV/0!","11,167.00","235,093.69","178,174.75","","53,467.07","#DIV/0!","51,848.76","85,341.67","25,497.50","#DIV/0!","92,883.94","#DIV/0!","62,538.00","13,237.00","190,304.64","92,876.15","","158,899.71","#DIV/0!","30,996.00","16,741.00","15,781.00","127,672.50","115,063.62","#DIV/0!"
"9","嘉義縣六腳鄉","0","100,188.00","95,940.20","35,796.02","52,022.34","22,838.08","#DIV/0!","57,561.14","7,174.00","42,832.20","56,107.00","","#DIV/0!","382,064.00","116,289.67","93,784.97","38,773.04","69,258.49","21,254.07","#DIV/0!","25,937.47","141,613.00","24,213.60","183,312.00","","#DIV/0!","439,644.00","70,452.67","136,999.81","32,506.10","36,746.41","115,169.08","#DIV/0!","56,789.80","135,741.50","53,239.06","116,143.20","","#DIV/0!","1,004,034.50","49,862.75","133,281.00","58,794.06","52,605.69","54,443.56","#DIV/0!","66,280.43","186,106.00","90,088.36","#DIV/0!","","#DIV/0!","51,486.67","89,085.92","118,333.68","55,734.91","","97,533.50","#DIV/0!","39,329.00","#DIV/0!","114,142.70","24,335.33","35,833.88","#DIV/0!","135","23,371.67","58,643.00","53,377.13","","96,207.63","#DIV/0!","73,007.24","361,534.00","37,307.15","125,539.00","71,035.71","#DIV/0!","213,741.00","410,931.60","144,664.03","41,486.61","","137,759.43","#DIV/0!","33,508.90","120,990.00","103,434.00","12,799.00","42,525.64","#DIV/0!","3,498.00","166,822.29","137,911.30","46,169.10","","84,725.16","#DIV/0!","34,554.63","84,123.00","54,515.80","0","81,013.18","#DIV/0!","#DIV/0!","69,126.33","65,780.83","54,597.20","","36,493.67","#DIV/0!","46,050.03","48,943.33","108,703.63","77,228.33","64,006.51","#DIV/0!","3,088.00","232,121.50","112,463.22","111,220.90","","64,273.63","#DIV/0!","69,430.21","39,941.00","62,060.50","43,766.50","40,283.79","#DIV/0!","588,820.33","56,874.42","123,726.49","60,134.38","","94,446.34","#DIV/0!","81,253.50","148,072.50","204,617.82","48,742.60","48,476.63","#DIV/0!"
