地區,2004白血病,2004膀胱,2004非何杰金氏淋巴瘤,2004肺、支氣管及氣管,2004肝及肝內膽管,2004結腸,2004口腔、口咽及下咽,2004卵巢、輸卵管及寬韌帶,2004女性乳房,2004攝護腺,2004食道,2004胃,2004胰,2004直腸與肛門,2004子宮頸,2005白血病,2005膀胱,2005非何杰金氏淋巴瘤,2005肺、支氣管及氣管,2005肝及肝內膽管,2005結腸,2005口腔、口咽及下咽,2005卵巢、輸卵管及寬韌帶,2005女性乳房,2005攝護腺,2005食道,2005胃,2005胰,2005直腸與肛門,2005子宮頸,2006白血病,2006膀胱,2006非何杰金氏淋巴瘤,2006肺、支氣管及氣管,2006肝及肝內膽管,2006結腸,2006口腔、口咽及下咽,2006卵巢、輸卵管及寬韌帶,2006女性乳房,2006攝護腺,2006食道,2006胃,2006胰,2006直腸與肛門,2006子宮頸,2007白血病,2007膀胱,2007非何杰金氏淋巴瘤,2007肺、支氣管及氣管,2007肝及肝內膽管,2007結腸,2007口腔、口咽及下咽,2007卵巢、輸卵管及寬韌帶,2007女性乳房,2007攝護腺,2007食道,2007胃,2007胰,2007直腸與肛門,2007子宮頸,2008白血病,2008膀胱,2008非何杰金氏淋巴瘤,2008肺、支氣管及氣管,2008肝及肝內膽管,2008結腸,2008口腔、口咽及下咽,2008卵巢、輸卵管及寬韌帶,2008女性乳房,2008攝護腺,2008食道,2008胃,2008胰,2008直腸與肛門,2008子宮頸,2009白血病,2009膀胱,2009非何杰金氏淋巴瘤,2009肺、支氣管及氣管,2009肝及肝內膽管,2009結腸,2009口腔、口咽及下咽,2009卵巢、輸卵管及寬韌帶,2009女性乳房,2009攝護腺,2009食道,2009胃,2009胰,2009直腸與肛門,2009子宮頸,2010白血病,2010膀胱,2010非何杰金氏淋巴瘤,2010肺、支氣管及氣管,2010肝及肝內膽管,2010結腸,2010口腔、口咽及下咽,2010卵巢、輸卵管及寬韌帶,2010女性乳房,2010攝護腺,2010食道,2010胃,2010胰,2010直腸與肛門,2010子宮頸,2011白血病,2011膀胱,2011非何杰金氏淋巴瘤,2011肺、支氣管及氣管,2011肝及肝內膽管,2011結腸,2011口腔、口咽及下咽,2011卵巢、輸卵管及寬韌帶,2011女性乳房,2011攝護腺,2011食道,2011胃,2011胰,2011直腸與肛門,2011子宮頸,2012白血病,2012膀胱,2012非何杰金氏淋巴瘤,2012肺、支氣管及氣管,2012肝及肝內膽管,2012結腸,2012口腔、口咽及下咽,2012卵巢、輸卵管及寬韌帶,2012女性乳房,2012攝護腺,2012食道,2012胃,2012胰,2012直腸與肛門,2012子宮頸,2013白血病,2013膀胱,2013非何杰金氏淋巴瘤,2013肺、支氣管及氣管,2013肝及肝內膽管,2013結腸,2013口腔、口咽及下咽,2013卵巢、輸卵管及寬韌帶,2013女性乳房,2013攝護腺,2013食道,2013胃,2013胰,2013直腸與肛門,2013子宮頸
嘉義市東區,29.75,21.72,21.36,223.51,355.26,154.53,53.88,29.72,89.16,168.41,33.87,95.23,27.8,62.79,72.06,27.5,20.86,50.48,267.06,415.08,240.79,58.92,44.49,193.5,215.53,22.61,63.21,27.63,74.52,58.38,74.84,18.94,15.42,222.75,364.33,85.5,14.75,27.43,207.26,246.84,20.74,122.64,7.25,164.75,13.72,44.16,53.83,12.19,182.17,266.35,110.63,29.6,0,83.21,223.17,27.51,46.55,34.5,111.69,53.81,46.42,49.02,19.71,224.94,227.93,108.99,79.66,12.15,152.7,235.4,6.36,48.55,79.53,100.98,12.4,38.48,79.28,39.95,220.02,403.8,125.05,105.98,27.15,91.62,210.97,18.84,70.14,56.93,137.57,52.41,34.03,54.92,79.81,236.3,289.73,237.53,125.92,28.02,253.25,230.51,13.05,111.02,59.03,102.16,24.84,38.76,26.05,30.47,324.26,308.53,153.76,71.94,24.23,249.42,269.76,22.94,73.7,25.42,116.2,53.12,6.67,95.11,42.45,263.76,338.96,227.74,42.45,26.1,121.36,250.74,13.53,96.39,43.19,94.88,9.72,37.06,42.85,47.75,155.73,299.71,277.42,68.03,0,134.1,273.72,6.56,83.13,51.93,131.64,10.33
嘉義市西區,23.27,45.73,39.99,193.11,513.9,219.56,87.54,16.07,152.83,132.75,24.21,123,34.13,145.28,48.48,29.26,74.85,27.99,300.14,426.16,148.27,56.75,12.56,55.08,184.41,13.5,50.05,30.42,136.98,100.42,7.88,19.83,6.97,249.17,411.83,192.18,52.04,11.98,122.08,207.14,15.24,78.49,20.69,134.22,54.78,0,60.81,12.09,151.57,350.76,118.88,46.17,41.81,89.04,184.83,15.72,25.8,26.03,117.91,12.2,19.44,64.03,34.47,182.83,316,238.83,63.66,14.8,91.62,203.05,19.61,57.51,44.22,127.41,44.4,13.68,57.49,6.78,149.76,465.47,139.46,80.86,0,109.76,220.31,55.14,41.91,45.2,110.28,20.85,22.74,38.42,37.97,238.96,390.74,192.02,63.8,67,70.77,239.54,12.27,62.32,31.31,104.12,66.12,35.2,46.58,30.67,311.68,339.14,223.33,106.02,42.69,132.6,165.53,23.76,37.85,26.13,76.82,18.11,24.85,49.82,4.47,210.4,256.17,260.31,56.08,27.44,115.23,242.86,6.42,108.72,29.53,120.2,0,31.25,41.06,57.99,229.67,458.52,215.99,69.91,14.61,169.97,253.42,5.46,109.32,72.8,106.54,16.01
嘉義縣阿里山鄉,0,0,110.2,0,138.93,167.82,0,0,0,0,0,145.02,0,145.02,0,0,0,164.8,0,435.95,147.41,106.35,0,0,0,0,147.41,147.41,253.77,0,0,0,0,117.26,432.46,117.26,0,0,0,704.35,0,117.26,0,146.61,0,0,0,0,309.18,309.18,0,0,0,0,0,0,139.01,0,139.01,0,0,0,0,122.77,286.91,0,0,0,0,0,0,91.46,122.77,189.56,0,0,0,0,0,318.69,0,141.95,0,0,211.07,0,0,0,89.23,0,0,0,0,0,596.31,0,0,0,0,0,0,0,0,0,0,0,0,138.3,138.3,692.69,0,0,0,0,0,0,123.6,0,0,0,0,203.66,119.56,188.58,506.09,188.58,0,0,0,228.66,0,0,0,0,0,175.89,0,0,358.47,336.12,118.78,0,0,0,295.04,175.89,147.82,0,0,0
嘉義線布袋鎮,18.3,189.92,60.57,582.45,557.04,203.95,58.82,38.63,38.63,226.36,0,62.7,20.08,168.25,38.51,0,176.23,30.24,321.6,406.75,138.11,57.55,0,70.13,350.98,38.48,109.16,0,119.86,32.38,20.48,145.47,0,453.94,316.32,159.16,60.34,33.75,65.23,192.79,40.97,136.27,44.15,115.46,135.12,60.71,159.57,35.19,527.09,262.66,322.31,80.42,0,104.16,94.98,19.7,42.38,58.91,134.46,33.04,24.39,248.71,0,423.53,233.02,58.69,57.14,0,75.89,250.77,0,116.25,75.43,104.97,30.19,31.68,92.52,17.07,369.67,155.33,185.26,139.1,0,0,188.28,33.33,56.31,33.33,59.62,0,0,118.55,0,390.9,196.65,194.61,44.27,0,0,233.95,0,32.1,43.28,64.15,81.44,17.37,100.05,34.15,458.68,160.79,173.17,94.71,27.63,31.42,307.9,17.37,68.47,15.29,125.46,52.29,17.95,108.72,0,414.79,207.69,143.72,0,60.67,23.96,323.64,31.79,68.23,14.84,83.07,0,29.84,168.65,59.92,361.95,361.92,192.76,59.89,0,83.51,255.27,77.19,110.72,15.63,79,0
嘉義縣大埔鄉,0,225.46,0,0,225.46,0,242.29,0,425.41,0,0,484.57,0,0,0,0,0,0,557.49,411.64,223.08,237.43,0,0,0,0,0,0,0,0,0,0,0,252.31,387.72,0,0,0,0,0,0,0,0,0,731.71,0,0,0,221.73,0,171.49,0,0,0,0,0,0,0,0,0,0,0,0,0,225.84,0,0,342.99,0,406.5,0,0,0,469.74,0,0,0,0,0,225.84,174.22,174.22,0,0,0,0,0,197.76,193.02,0,0,0,0,0,421.83,329.43,421.83,0,0,0,231.55,231.55,0,190.28,457.32,0,146.34,0,397.47,0,0,457.32,0,0,0,0,0,0,0,0,0,0,0,239.12,186.31,319.35,239.12,0,0,0,0,0,0,239.12,0,0,0,0,166.3,207.87,118.02,0,0,0,419.21,0,0,0,0,0
嘉義縣大林鎮,38.4,49.4,16.12,372.83,213.99,123,59.63,0,116.05,137.44,37.35,72.73,38.4,112.37,33.37,15.46,90.85,0,203.58,272.37,211.03,73.74,40.03,31.11,201.18,30.93,15.46,36.27,144.88,32.52,51.73,15.12,48.29,328.4,327.31,150.18,17.29,67.8,103.87,255.82,74.63,48.76,0,52.81,33.71,44.43,47.08,14.63,194.78,175.95,162.58,20.79,55.26,32.96,190.57,55.38,51.65,30.86,133.62,0,71.07,21.56,48.96,351.61,214.27,205.87,70.51,0,173.3,212.76,14.18,31.47,33.12,217.27,33.25,66.58,46.97,31.11,305.5,207.69,103.58,68.88,0,73.95,288.03,45.06,127.93,14,148.16,0,13.88,45.62,0,224.39,323.79,109.28,56.47,31.38,25.48,150.71,16.78,56.47,63.97,156.72,0,28.71,52.84,0,169.34,337.48,187.25,39.08,51.17,159.97,275.51,0,42.53,49.58,83.47,81.87,34.15,55.3,38.59,260.88,410.42,171.31,39.14,0,77.92,230.8,27.3,50.7,0,160.61,0,51.28,108.71,35.83,180.47,322.66,162.2,53.64,0,155.99,55.02,40.68,90.21,97.8,138.35,0
嘉義縣東石鄉,38.74,18.23,33.8,217.76,281.85,164.8,43.89,0,42.15,368.87,21.95,72.54,0,143.56,31.75,0,74.16,16.6,419.6,381.12,141.38,38.37,29.5,0,79.87,33.21,185.86,38.37,167.34,0,0,32.78,0,301.92,310.52,48.68,99.39,0,106.72,44.35,22.16,81.27,22.16,136.39,58.44,0,34.66,0,193.27,249.78,69.55,0,32.09,0,193.25,17.33,104.77,49.69,140.99,0,13.97,30.31,30.31,359.93,395.96,59.26,104.97,0,79.97,421.15,24.89,87.21,0,175.22,48.33,13.32,0,31.31,405.91,301.08,67.94,52.45,0,0,342.04,83.76,26.23,0,92.32,0,0,52.06,42.36,178.64,340.43,129.42,77.9,0,135.11,188.25,0,30.07,30.47,220.71,0,18.19,44.53,0,319.66,144.23,159.07,79.6,0,105.21,397.95,0,60.65,26.34,120.06,56.35,70.35,25.92,30.85,217.45,261.45,301.84,76,0,0,105.14,19,0,0,111.11,20.87,0,73.05,0,268.78,483.39,59.08,75.28,24.65,92.15,276.26,31.13,60.04,46.58,163.36,0
嘉義縣番路鄉,54.53,54.53,0,248.17,503.37,54.53,120.09,0,240.71,245.68,0,0,59.49,114.02,0,0,0,105.56,100.8,203.22,177.02,146.12,95.27,241.03,240.87,0,71.46,0,49.71,0,0,43.9,68.64,237.29,174.23,233.75,0,91.92,0,0,0,0,0,154.49,0,0,0,46.9,69.95,157.89,46.9,0,0,77.84,329.6,0,0,46.9,87.94,0,0,0,44.89,349.14,220.06,103.3,133.44,0,0,123.07,0,0,0,0,0,0,57.21,0,254.52,114.14,0,43.55,0,0,290.74,0,0,0,289.3,0,78.85,35.52,0,200.94,78.85,38.51,157.7,0,0,114.17,0,0,0,0,71.74,0,32.81,52.3,311.79,196.39,78.63,152.94,0,0,198.33,0,43.45,0,134.88,0,0,0,51.5,179.78,300.17,81.12,96,0,0,511.39,44.51,205.07,51.5,0,0,0,0,0,311.21,313.91,112.26,0,0,0,0,0,31.63,31.63,131.11,0
嘉義縣六腳鄉,0,141.66,48.21,315.73,343.58,158.84,38.14,0,71.42,243.79,0,74.15,45.08,32.62,49.74,16.98,0,14.88,326.45,287.31,145.84,57.03,0,31.45,203.05,23.07,80.46,29.77,244.81,71.2,17.98,27.19,13.93,311.88,354.49,89.48,58.31,0,43.83,286.29,17.98,111.48,31.24,90.1,24.16,51.3,0,55.98,204.31,341.47,100.8,13.75,0,0,71.27,0,25.27,34.99,65.06,53.73,54.54,114.19,12.86,221.26,253.48,58.64,31.21,44.67,34.71,121.36,0,68.03,31.21,186.03,84.55,23.16,134.83,0,281.04,149.11,161.76,65.05,0,0,296.84,54.17,65.56,32.44,114.69,0,54.14,36.54,0,324.97,381.4,163.25,114.31,0,59.76,123,0,25.39,0,59.29,24.46,0,14.63,18.34,237.44,339.11,137.81,59.43,17.82,43.07,100.43,71.25,77.66,0,98.81,26.06,10.76,25.59,0,188.85,237.23,106.38,25.59,0,117.34,125.68,0,32.81,86.75,135.27,0,60.97,91.23,47.74,309,154.52,86.27,78.06,0,117.71,255.9,25.36,32.96,36.26,38.53,17.5
嘉義縣鹿草鄉,63.48,112.7,52.4,277.41,265.07,29.39,34.1,0,0,127.9,0,56.62,34.1,154.22,44.62,33.05,47.09,0,305.58,271.2,86.44,116.34,0,65.68,186.9,33.05,117.29,59.74,239.34,40.92,0,0,0,270.47,348.79,172.79,32.84,51.89,0,125.11,0,85.35,0,128.47,65.68,0,45.12,33.32,288.83,475.07,97.17,23.01,74.5,86.54,109.93,0,23.91,0,33.32,0,22.31,22.31,0,230.99,195.2,71.31,34.88,0,0,106.77,0,43.86,0,53.93,0,0,21.03,27.92,282.22,331.3,96.69,0,0,109.96,170.07,27.92,0,19.99,0,0,26.96,21.3,0,138.09,275.79,215.95,0,0,114.01,56.13,0,39.56,18.26,229.63,136,0,62.3,43.97,174.15,130.38,48.29,63.55,0,104.8,146,45.73,26.67,44.49,183.72,104.8,36.04,26.72,0,325.52,242.51,157.14,118.01,0,39.77,193.51,0,63.38,0,138.86,0,0,73.43,0,295.37,232.38,183.22,151.34,92.62,0,286.94,28.01,84.12,17.42,168.13,0
嘉義縣梅山鄉,25.69,25.5,28.81,224.93,290.02,235.03,31.95,65.92,0,97.56,0,83.34,0,108.84,47.15,0,26.38,56.74,106.25,179.35,149.15,0,0,61.8,117.6,0,0,0,31.4,48.46,24.28,23.27,30.74,240.16,219.82,54.02,78.3,0,105.99,191.29,24.28,0,0,126.51,0,0,62.43,25.72,293.13,176.91,121.61,72.39,0,104.24,0,31.22,47.54,25.72,244.74,128.37,21.8,0,0,272.72,130.31,201.46,202.96,0,66.28,0,0,31.48,75.02,153.91,0,22.11,20.25,58.64,294.39,153.29,109.36,33.26,36.66,0,209.71,20.74,25.38,55.37,115.73,0,18.92,84.03,18.92,267.48,62.78,351.84,95.49,0,76.7,47.64,18.92,0,18.92,56.53,33.36,25.19,37.64,0,280.26,271.71,182.41,0,0,159.41,338.18,18.81,100.31,0,154.6,29.62,18.54,0,16.08,140.1,156.31,92.55,46.28,0,78.51,300.31,63.75,74.67,18.54,138.86,0,37.84,49.78,32.66,63.91,163.78,123.93,59.85,28.51,238.34,294.15,0,56.25,0,84.63,0
嘉義縣民雄鄉,35.82,39.81,14.4,289.44,213.26,114.48,0,24.36,73.71,158.32,14.4,38.69,25.41,91,78.74,11.07,81.47,37.88,296.12,185.24,168.69,53.89,22.87,101.56,362.43,23.99,38.26,63.19,126.2,51.62,23.52,97.44,23.47,349.59,332.75,169.21,23.83,22.53,72.13,255.6,0,70.1,21.94,123.52,67.87,31.98,46.44,56.58,317.76,218.01,86.05,52.06,0,85.69,175.29,0,72.14,11.7,95.38,19.62,29.76,30.26,0,258.37,185.12,115.23,84.08,0,21.9,203.1,43.06,123.02,21.59,179.88,19.43,22.33,65.56,11.57,211.15,341.97,86.64,82.41,28.47,218.31,247.55,33.77,75.81,35.89,90.52,0,9.62,39.68,30.74,213.89,298.2,152.68,36.1,51.91,30.62,219.15,28.87,44.72,9.62,130.95,63.88,20.88,44.14,55.57,406.11,269.66,169.15,35.56,0,65.57,249.87,16.68,25.04,35.56,207.04,16.98,49.61,32.18,48.23,240.41,226.77,226.46,80.32,0,127.28,208.93,11.46,35.64,17.32,141.36,35.27,0,58.11,15.37,386.29,305.64,186.62,105.69,0,69.07,248.64,42.21,22.72,34.71,110.97,30.67
嘉義縣朴子市,0,81.16,33.44,274.55,178.28,65,34.21,0,73.24,260.63,16.71,94.7,15.63,78,172.31,14.82,30.26,15.44,202.24,211.47,143.99,0,35.21,80.09,179.58,0,78.58,31.88,75.31,48.62,0,41.19,71.36,324.82,345.35,94.48,88.06,0,0,256.04,0,72.85,42.22,106.91,51.98,12.84,0,45.24,187.14,293.98,62.26,0,0,0,216.88,0,40.42,46.14,72,56.13,27.17,27.17,0,270.26,169.39,201.67,96.03,36.92,93.4,217,18.95,65.56,34.09,114.17,28.24,58.3,22.65,38.76,393.72,312.46,167.34,70.27,29,95.38,358,0,66.12,15.11,153.39,0,0,88.39,0,213.34,281.02,125.46,69.72,0,193.59,217.63,14.76,123.29,25.32,122.23,77.48,9.95,43.06,32.27,157.11,253.89,124.32,74.17,0,185.2,212.19,34.24,40.32,22.32,127.89,0,9.83,21.93,44.61,255.37,155.55,185.77,48.36,21.65,27.38,438.02,12.09,103.07,9.83,57.02,15.7,52.76,87.36,44.09,299.67,274.19,246.06,45.09,0,125.72,172.79,65.01,71.27,18.04,36.42,0
嘉義縣水上鄉,31.63,33.36,35.39,211.76,233.31,150.66,29.44,0,127.07,268.47,26.73,121.58,38.84,132.82,63.34,34.73,57.82,32.26,205.2,310.7,133.35,14.9,28.45,62.08,244.35,65.74,91.08,17.36,90.08,62.08,47.18,26.69,26.69,221.86,210.9,230.35,94.21,0,86.99,264.73,0,62.9,48.75,69.22,26.63,28.77,64.74,14.39,306.26,255.07,93.34,91.07,0,66.28,195.35,26.32,56.08,41.52,84.68,87.08,32.3,26.14,44.07,268.08,194.85,151.93,57.48,0,0,246.25,0,71.7,57.8,157.55,0,28.29,49.58,67.22,337.69,307.03,116.22,46.81,0,80.05,233.12,41.45,71,32.67,176.27,0,35.99,52.48,9.95,224.73,234.43,141.11,110.31,0,247.67,258.08,24.24,44.15,61.27,101.62,34.94,35.13,21.12,14.07,257.93,257.68,160.81,23.61,61.02,64.83,157.49,44.68,65.49,20.1,98.15,39,30.74,40.44,44.26,274.98,184.35,111.54,86.68,21.05,190.34,359.23,9.41,56.37,32.58,84.41,0,35.56,17.93,40.32,153.73,309.79,157.63,38.61,43.77,120.09,362.51,31.36,114.5,47.33,141.09,0
嘉義縣太保市,0,87.19,25.73,238.95,293.24,189.77,29.91,58.26,58.26,170.38,59.83,117.05,29.91,58.2,58.26,85.22,117.13,23.7,242.94,579.09,246.6,117.1,59.68,59.68,200.58,0,86.75,86.75,125.88,0,43.09,75.06,67.26,188.96,453.06,110.56,57.05,57.89,102.78,207.81,0,53.51,0,161.77,0,0,28.63,21.05,154.97,285.49,49.68,52.65,0,93.75,0,0,76.38,49.68,70.3,0,0,45.57,0,354.79,376.49,262.23,142.9,46.34,0,135.84,24.66,24.66,71.07,154.39,41.11,19.99,0,19.99,417.26,320.26,19.67,157.52,34.91,0,202.88,29.58,93.51,124.42,19.67,0,0,50.88,75.58,348.94,357.84,148.27,69.6,0,206.51,87.69,0,69.6,0,220.04,33.81,65.88,23.83,71.14,226.28,359.02,159.42,68.64,0,125.9,293.55,0,81.97,77.26,121.37,0,23.45,20.16,23.45,199.09,401.15,198.31,34.1,0,45.02,131.88,0,96.06,54.25,86.97,0,18.91,46.18,0,279.32,404.82,151.54,98.28,0,96.02,186.82,0,61.57,51.49,280.01,59.73
嘉義縣溪口鄉,0,70.17,35.94,471.68,207.37,34.06,0,0,70.9,73.76,0,29.55,35.94,129.1,70.9,36.04,28.91,31.06,130.97,315.86,106.02,101,127.22,0,0,31.06,0,57.82,59.97,0,0,0,30.92,187.02,301.78,156.57,0,71.88,166.01,359.11,28.91,36.7,29.13,133.22,0,0,84.41,0,347.69,302.16,58.04,57.92,0,0,260.06,28.1,28.21,59.24,147.51,153.73,0,80.82,0,388.89,344.99,99.36,72.81,0,0,120.04,26.55,91.34,0,87.14,204.8,28.91,0,0,276.23,429.25,109.24,148.45,0,147.52,134.95,0,53.2,64.37,27.03,0,93.2,50.57,63.91,429.96,460.63,82.15,67.34,0,136.79,257.74,0,77.57,50.57,87.48,41.76,29.98,0,47.53,215.55,379.18,134.66,0,0,0,274.69,0,0,0,97.85,0,0,93.09,0,268.17,428.6,213.93,23.68,0,0,115.58,23.68,0,97.11,67.42,0,20.52,45.21,118.47,319.33,336.08,276.97,52.49,0,189.07,197.2,59.95,29.98,92.19,132.96,0
嘉義縣新埔鄉,0,116.36,0,314.31,450.86,128.41,19.19,66.93,69.77,147.4,33.29,39.53,53.05,106.05,38.55,15.7,119.45,51.69,242.84,407.85,67.39,83.93,0,119.36,146.49,0,35.16,26.23,131.59,188.22,16.29,69.03,0,151.16,415.87,149.56,122.31,0,106.57,177.45,19.46,156.41,0,76.39,30.04,34.21,81.97,34.21,370.75,277.48,51.1,19.61,0,165.74,227.05,35.35,35.66,14.6,100.21,0,0,108.39,47.53,216.47,352.73,134.8,83.91,0,104.48,261.37,33.51,81.8,89.18,143.6,31.23,49.78,19.64,33.02,411.36,276.83,117.7,79.92,24.34,0,276.32,35.9,32.09,41.14,122.95,25.23,116.1,28.86,53,364.66,261.36,198.85,71.15,0,211.66,259.12,16.08,13.4,14.9,128.32,23.2,26.05,13.31,75.32,314.88,409.78,284.61,103.83,0,96.94,160.51,29.14,122.8,13.31,164.69,23.51,76.37,111.53,34.49,294.15,311.29,252.98,63.31,0,288.45,311.28,13.08,0,48.28,68.08,72.54,21.65,15.65,0,242.92,316.64,159.1,60.26,24.46,99.4,131.51,21.65,38.51,74.6,92.87,42.74
嘉義縣新港鄉,38.85,34.87,18.4,354.66,435.91,205.62,36.61,0,31.49,282.03,16.47,81.06,20.24,106.35,98.27,36.4,128.51,38.43,261.07,193.82,160.8,32.66,0,111.94,182.39,16.33,75.39,32.85,96.6,58.82,0,71.9,0,246.66,281.4,197.6,20.65,0,30.84,103.59,79.99,49.6,20.65,163.73,41.34,33.48,30.29,18.34,273.87,235.08,110.14,15.82,0,27.72,123.54,32.4,52.47,16.58,52.39,0,15.98,31.44,31.61,247.41,345.92,105.99,47.94,0,155.02,249.19,14.31,37.54,37.02,130.08,27.61,13.27,46.17,84.37,460.32,269.05,167.26,16.45,45,23.25,241.78,74.64,52.45,38.91,58.23,23.25,50.06,27.64,53.6,397.98,399.82,131.3,79.67,0,47.64,108.03,29.19,13.04,16.15,156.83,0,28.54,50.51,25.37,259.13,271.78,230.16,33.45,32.29,0,241.53,0,38.23,26.42,78.2,0,12.49,12.49,78.81,323.38,233.08,75.05,41.87,0,73.31,219.52,28.5,35.69,11.6,116.33,0,0,36.2,81.98,169.29,445.72,125.07,63.26,33.66,0,193.57,0,25.18,23.41,39.32,52.72
嘉義縣義竹鄉,0,190.4,0,275.79,437.55,48.01,48.01,0,36.95,158.17,0,93.91,0,167.29,0,74.44,155.44,21.96,217.33,296.33,189.67,52.49,0,0,103.62,99.84,41.21,21.96,126.49,0,0,125.42,21.48,323.67,404.91,200.85,45.54,0,0,129.43,0,119.16,0,100.05,67.33,0,120.57,18.67,276.12,233.27,125.85,136.57,32.9,55.6,206.94,0,76.44,18.67,108.14,55.6,38.27,186.18,18.63,197.93,442.67,190.81,0,38.83,0,92.67,0,140.33,0,142.22,0,18.02,99.27,0,292,425.21,83.34,32.26,60.37,0,383.12,37.61,55.28,0,18.02,27.61,0,48.61,17.78,418.57,185.9,120.69,59.03,0,108.91,263.78,55.65,191.29,0,112.32,0,0,32.63,0,205.59,166.94,287.94,103.39,0,181.74,92.4,0,62.9,40.88,120.02,39.92,14.73,31.7,39.97,322.9,105.99,106.34,0,29.55,50.88,89.34,0,46.43,0,57.06,0,40.38,64.9,24.11,249.14,279.83,88.61,96.03,0,89.58,169.45,40.38,31.54,0,37.71,89.58
嘉義縣竹崎鄉,0,93.22,16.27,179.32,453.49,89.48,53.57,0,70.6,124.74,19.63,100.51,16.48,146.38,0,20.6,56.74,55.65,220.4,557.03,123.53,96.16,0,28.99,64.75,0,16.76,65.64,243.7,78.26,36.28,65.39,0,147.67,322.25,122.67,144.25,0,151.33,158.39,66.19,47.76,16.6,92.61,31.34,54.32,63.91,76.43,116.06,325.26,85.29,68.1,0,102.05,117.18,0,33.67,36.41,49.77,31.31,18.11,56.15,16.49,189.86,331.92,81.27,51.73,0,0,213.44,15.06,33.17,50.29,90.55,0,0,26.96,30.05,151.81,436.42,126.2,113.02,43.14,129.74,127.47,30.31,22.01,48.72,99.15,43.14,73.84,53.1,13.75,269.8,343.76,166.4,151.87,0,243.49,210.71,47.48,36.05,23.74,161.65,25.09,0,74.54,16.58,225.15,297.81,162.96,79.47,0,50.32,276.6,50.97,33.16,30.28,139.58,0,12.53,25.87,0,208.71,307.32,59.4,55.02,0,103.19,128.65,0,39.6,17.22,105.94,70.91,11.38,0,79.54,254.72,339.04,119.48,79.54,23.79,33.16,228.98,35.24,13.11,0,46.31,0