地區,2004白血病,2004膀胱,2004非何杰金氏淋巴瘤,2004肺、支氣管及氣管,2004肝及肝內膽管,2004結腸,2004口腔、口咽及下咽,2004卵巢、輸卵管及寬韌帶,2004女性乳房,2004食道,2004胃,2004胰,2004直腸與肛門,2004子宮頸,2005白血病,2005膀胱,2005非何杰金氏淋巴瘤,2005肺、支氣管及氣管,2005肝及肝內膽管,2005結腸,2005口腔、口咽及下咽,2005卵巢、輸卵管及寬韌帶,2005女性乳房,2005食道,2005胃,2005胰,2005直腸與肛門,2005子宮頸,2006白血病,2006膀胱,2006非何杰金氏淋巴瘤,2006肺、支氣管及氣管,2006肝及肝內膽管,2006結腸,2006口腔、口咽及下咽,2006卵巢、輸卵管及寬韌帶,2006女性乳房,2006食道,2006胃,2006胰,2006直腸與肛門,2006子宮頸,2007白血病,2007膀胱,2007非何杰金氏淋巴瘤,2007肺、支氣管及氣管,2007肝及肝內膽管,2007結腸,2007口腔、口咽及下咽,2007卵巢、輸卵管及寬韌帶,2007女性乳房,2007食道,2007胃,2007胰,2007直腸與肛門,2007子宮頸,2008白血病,2008膀胱,2008非何杰金氏淋巴瘤,2008肺、支氣管及氣管,2008肝及肝內膽管,2008結腸,2008口腔、口咽及下咽,2008卵巢、輸卵管及寬韌帶,2008女性乳房,2008食道,2008胃,2008胰,2008直腸與肛門,2008子宮頸,2009白血病,2009膀胱,2009非何杰金氏淋巴瘤,2009肺、支氣管及氣管,2009肝及肝內膽管,2009結腸,2009口腔、口咽及下咽,2009卵巢、輸卵管及寬韌帶,2009女性乳房,2009食道,2009胃,2009胰,2009直腸與肛門,2009子宮頸,2010白血病,2010膀胱,2010非何杰金氏淋巴瘤,2010肺、支氣管及氣管,2010肝及肝內膽管,2010結腸,2010口腔、口咽及下咽,2010卵巢、輸卵管及寬韌帶,2010女性乳房,2010食道,2010胃,2010胰,2010直腸與肛門,2010子宮頸,2011白血病,2011膀胱,2011非何杰金氏淋巴瘤,2011肺、支氣管及氣管,2011肝及肝內膽管,2011結腸,2011口腔、口咽及下咽,2011卵巢、輸卵管及寬韌帶,2011女性乳房,2011食道,2011胃,2011胰,2011直腸與肛門,2011子宮頸,2012白血病,2012膀胱,2012非何杰金氏淋巴瘤,2012肺、支氣管及氣管,2012肝及肝內膽管,2012結腸,2012口腔、口咽及下咽,2012卵巢、輸卵管及寬韌帶,2012女性乳房,2012食道,2012胃,2012胰,2012直腸與肛門,2012子宮頸,2013白血病,2013膀胱,2013非何杰金氏淋巴瘤,2013肺、支氣管及氣管,2013肝及肝內膽管,2013結腸,2013口腔、口咽及下咽,2013卵巢、輸卵管及寬韌帶,2013女性乳房,2013食道,2013胃,2013胰,2013直腸與肛門,2013子宮頸
嘉義市東區,16.15,14.13,27.76,140.81,301.86,100.26,42.28,29.72,89.16,0,85.62,42.78,84.66,72.06,42.05,0,14.38,218.89,341.74,201.91,0,44.49,193.5,0,58.04,15.16,59.43,58.38,84.37,0,28.4,151.12,335.07,96.36,13.72,27.43,207.26,13.14,81.1,13.55,95.56,13.72,27.94,25.3,0,95.37,230.79,70.07,0,0,83.21,0,40.07,25.34,78.04,53.81,23.94,11.79,12.15,156.12,164.61,92.25,26.34,12.15,152.7,0,39.2,126.03,75.14,12.4,11.74,14.72,0,124.7,393.01,98.09,37.7,27.15,91.62,0,61.09,59.35,86.35,52.41,32.62,28.02,34.56,191.92,198.85,245.98,28.02,28.02,253.25,0,87.95,83.92,34.19,24.84,11.01,11.01,36.14,234.9,291.76,111.99,48.25,24.23,249.42,10.14,41.3,38.11,80.22,53.12,11.87,72.34,31.42,206.04,300.37,171.66,11.87,26.1,121.36,0,40.92,38.33,116.29,9.72,9.59,9.59,36.08,136.1,215.19,238.1,14.92,0,134.1,0,37.57,39.69,86.6,10.33
嘉義市西區,14.08,47.78,30.85,195.37,351,250.81,16.07,16.07,152.83,0,108.6,14.61,194.07,48.48,27.7,40.36,38.94,122.05,383.29,131.71,0,12.56,55.08,0,14.56,14.56,100.5,100.42,14.69,25,12.7,182.39,361.79,89.03,0,11.98,122.08,0,63.83,12.85,64.37,54.78,0,50.41,0,81.37,253.47,129.59,0,41.81,89.04,0,12.05,35.4,117.28,12.2,12.21,22.06,35.82,176.09,187.58,189.2,0,14.8,91.62,10.67,59.62,33.43,63.72,44.4,0,45.57,0,98.39,421.5,70.35,0,0,109.76,0,21.55,48.24,90.53,20.85,11.52,32.25,10.36,199.22,311.76,110.35,24.87,67,70.77,0,72.65,25.67,60.9,66.12,11.63,10.02,31.06,182.05,203.38,201.09,30.72,42.69,132.6,9.04,33.66,25.55,21.66,18.11,11.73,41.63,0,189.87,233.66,169.34,9.57,27.44,115.23,0,67.73,19.14,23.55,0,19.69,38.62,41.79,228.41,401.29,139.64,31.03,14.61,169.97,0,63.05,67.07,55.55,16.01
嘉義縣阿里山鄉,0,0,0,0,0,0,0,0,0,0,0,0,282.41,267.7,0,0,302.36,0,0,263.03,188.58,0,0,0,0,263.03,0,793.3,0,0,0,0,0,0,0,0,0,0,201.02,0,265.64,466.65,0,0,0,260.48,0,0,0,0,0,0,260.48,0,260.48,260.48,0,0,0,0,0,0,0,0,0,0,0,231.55,351.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860.08,0,0,0,0,0,0,0,0,0,0,217.77,0,0,367.1,0,0,212.71,0,0,365.85,0,0,0,0,0,0,0,576.97,0,0,0,119.95,0,198.83,0,0,345.14,0,119.95,0,0,399.11
嘉義縣布袋鎮,0,184.68,34.84,366.99,424.01,323.65,34.84,38.63,38.63,0,77.14,0,235.31,38.51,0,144.47,0,139.09,184.7,173.94,34.84,0,70.13,0,37.76,0,106.72,32.38,0,111.23,0,165.79,178.73,139.64,72.83,33.75,65.23,0,96.03,31.48,39.09,135.12,114.98,153.9,0,198.06,186.28,267.97,0,0,104.16,30.15,30.34,63.19,71.31,33.04,36.22,207.04,0,176.78,134.51,31.86,0,0,75.89,0,72.46,44.03,36.22,30.19,28.85,55.89,0,148.02,132.21,107,0,0,0,0,46.61,28.85,31.64,0,0,113.82,0,218.19,145.33,195.1,0,0,0,0,54.76,52.26,0,81.44,31.42,59.05,54.63,338.92,118.1,136.56,0,27.63,31.42,0,52.29,27.63,140.97,52.29,0,73.25,0,229.06,109.39,158.68,0,60.67,23.96,0,65.12,26.43,78.19,0,47.54,104.8,107.64,119.15,215.61,223.63,0,0,83.51,0,83.51,22.38,22.38,0
嘉義縣大埔鄉,0,0,508.13,0,479.09,0,0,479.09,425.41,0,508.13,0,0,0,0,0,0,0,373.32,463.11,470.69,373.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.99,0,0,0,457.32,0,0,457.32,0,0,0,0,979.97,0,0,0,0,0,0,0,0,0,0,0,0,385.11,0,0,0,0,0,0,851.87,0,0,851.87,0,0,0,0,0,457.32,0,0,0,419.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665.55,0,0,0,0,0,0,430.42,0,0,0,0,0,385.11,0,0,385.11,0,0,0,0,0,0
嘉義縣大林鎮,0,0,0,354.01,74.71,111.77,0,0,116.05,0,0,0,80.54,33.37,0,66.52,0,63.63,133.36,210.2,35.41,40.03,31.11,0,0,0,145.25,32.52,0,0,33.71,130.69,209.99,62.97,0,67.8,103.87,0,29.27,0,33.71,33.71,29.43,27.61,27.63,65.92,129,151.28,0,55.26,32.96,32.96,27.63,55.24,66.64,0,0,39.9,0,239.6,120.08,126.52,39.9,0,173.3,26.74,0,0,199.83,33.25,91.35,32.56,0,177.07,150.9,101.45,0,0,73.95,0,82.77,0,174.1,0,0,31.38,0,244.68,304.63,79.72,25.48,31.38,25.48,0,22.87,70.18,106.09,0,52.09,47.72,0,94.88,280.25,217.3,51.17,51.17,159.97,0,0,21.39,47.72,81.87,20.44,0,19.94,153.54,297.83,113.17,0,0,77.92,0,0,0,50.93,0,96.43,70.98,25.66,70.98,178.61,126.99,52.34,0,155.99,0,70.77,52.34,119.3,0
嘉義縣東石鄉,42.15,0,31.75,146.18,233.19,200.18,0,0,42.15,0,31.75,0,107.62,31.75,0,31.86,27.03,347.96,127.45,93.23,0,29.5,0,0,85.93,31.86,88.4,0,0,28.47,0,124.81,203.76,61.09,29.22,0,106.72,0,119.53,42.99,95.59,58.44,0,32.09,0,160.74,142.12,88.69,0,32.09,0,0,55.82,32.09,106.51,0,0,25.95,25.84,337.78,235.93,63.28,25.95,0,79.97,0,0,0,129.16,48.33,22.91,0,33.04,305.42,173.3,99.03,0,0,0,0,0,0,122.04,0,0,32.4,77.58,195.31,361.49,116.03,0,0,135.11,0,22.49,32.4,137,0,34.18,59,0,229.65,74.73,207.84,0,0,105.21,0,18.38,0,62.73,56.35,135.92,20.87,20.87,132.61,81.18,173.86,70.23,0,0,0,0,0,0,20.87,0,24.65,0,128.7,333.4,80.04,62.98,24.65,92.15,0,41.71,92.15,135,0
嘉義縣番路鄉,0,0,0,0,505.92,105.21,135.5,0,240.71,0,0,109.21,105.21,0,0,0,0,101.63,292.17,145.76,0,95.27,241.03,0,145.76,0,95.27,0,0,0,139.64,78.4,91.92,0,0,91.92,0,0,0,0,109.96,0,0,0,0,141.8,161.75,89.23,0,0,77.84,0,0,0,83.91,0,0,0,0,282.76,0,114.17,0,0,0,0,0,0,0,0,0,0,0,0,73.66,0,0,0,0,0,0,0,82.03,0,0,60.98,0,80.58,0,0,0,0,0,0,0,0,0,71.74,0,0,102.01,83.15,83.15,151.32,0,0,0,0,83.15,0,0,0,0,0,100.48,61.32,161.8,0,100.48,0,0,0,122.63,100.48,0,0,0,0,0,208.6,117.39,0,0,0,0,0,0,58.69,0,0
嘉義縣六腳鄉,0,71.42,57.68,192.18,215.34,179.56,0,0,71.42,0,72.14,44.84,57.68,49.74,0,0,25.69,161.95,204.73,149.23,31.45,0,31.45,0,116.14,0,225.11,71.2,33.54,19.67,0,278.84,280.03,102.84,19.67,0,43.83,0,104.16,0,70.62,24.16,24.26,0,0,103.14,106.45,112.52,24.26,0,0,0,19.2,63.55,67.75,53.73,44.67,34.71,19.94,220.05,195.3,44.13,0,44.67,34.71,0,44.67,19.94,138.21,84.55,45.45,93.36,0,248.63,162.34,188.38,0,0,0,0,68.45,0,64.26,0,19.09,0,0,109.61,314.46,38.18,0,0,59.76,0,24.46,0,19.09,24.46,0,26.06,34.57,77.81,269.15,0,0,17.82,43.07,0,121.16,0,69.13,26.06,0,26.59,0,147.43,211.54,86.43,17.53,0,117.34,0,26.59,55.69,82.27,0,49.11,49.11,0,113.27,70.07,81.19,83.18,0,117.71,0,0,34.53,49.11,17.5
嘉義縣鹿草鄉,113.91,69.29,48.69,93.31,271.77,44.62,0,0,0,0,91.12,69.29,117.98,44.62,0,81.85,0,298.27,116.98,116.98,0,0,65.68,0,48.14,0,172.28,40.92,0,0,0,196.24,346.56,158.14,0,51.89,0,0,0,0,89.04,65.68,0,0,0,66.16,197.98,80.94,0,74.5,86.54,0,40.8,0,0,0,40.65,40.65,0,142.47,0,91.56,0,0,0,0,0,0,50.91,0,0,0,54.98,234.8,184.93,65.14,0,0,109.96,0,0,31.27,0,0,0,0,0,0,198.11,187.89,0,0,114.01,0,29.91,29.91,278.02,136,0,29.5,0,238.25,157.21,0,0,0,104.8,0,52.4,0,118.04,104.8,59.65,52.4,0,88.39,92.17,218.59,0,0,39.77,0,0,0,39.77,0,0,0,0,22.87,133.05,169.48,22.87,92.62,0,0,122.45,0,178.44,0
嘉義縣梅山鄉,47.15,0,0,94.38,94.38,94.75,0,65.92,0,0,0,0,47.23,47.15,0,0,45.35,0,139.77,220.51,0,0,61.8,0,0,0,48.46,48.46,43.55,0,62.43,178.15,155,40.38,43.55,0,105.99,0,0,0,0,0,0,0,0,225.44,138.48,40.38,0,0,104.24,0,77.97,49.05,77.97,128.37,0,0,0,158.84,153.68,258.6,66.28,0,66.28,0,0,142.64,77.29,0,0,35.18,0,212.29,0,104.96,0,36.66,0,0,0,34.19,144.08,0,0,0,33.36,101.43,47.91,378,47.91,0,76.7,0,0,0,38.35,33.36,49.32,0,0,38.43,159.95,257.29,0,0,159.41,29.62,79.71,0,137.07,29.62,0,0,0,140.29,51.5,89.29,0,0,78.51,0,105.41,30.92,78.51,0,0,0,0,0,145.56,0,0,28.51,238.34,0,28.51,0,120.63,0
嘉義縣民雄鄉,23.07,25.58,27.57,148.7,192.92,151.92,0,24.36,73.71,0,0,0,104.33,78.74,0,51.62,0,165.04,72.65,99.38,0,22.87,101.56,0,45.74,45.74,73.72,51.62,0,49.73,0,241.08,241.37,114.53,0,22.53,72.13,0,22.65,42.66,119.73,67.87,0,22.01,21.86,152.29,189.18,48.9,22.01,0,85.69,0,65.74,22.01,39.9,19.62,18.98,57.83,0,182.01,134.18,69,0,0,21.9,0,84.88,19.26,131.61,19.43,21.53,58.12,0,140.17,283.08,50,39.38,28.47,218.31,0,75.1,39.83,57.23,0,0,38.15,38.81,90.36,184.3,92.81,0,51.91,30.62,0,47.47,0,100.05,63.88,21.48,0,66.75,206.74,214.61,143.68,0,0,65.57,32.78,15.52,0,109.47,16.98,59.33,0,38.02,228.75,146.7,148.7,0,0,127.28,0,30.15,15.08,31.78,35.27,0,21.64,30.67,163.25,268.94,180.7,47.43,0,69.07,0,13.21,44.46,104.5,30.67
嘉義縣朴子市,0,89.59,63.64,266.42,189.73,0,0,0,73.24,25.95,56.1,25.82,78.91,172.31,27.1,27.1,25.89,216.83,124.62,86.89,0,35.21,80.09,0,25.84,0,54.2,48.62,0,24.33,94.21,239.08,208.03,86.2,0,0,0,0,53.07,49.73,142.74,51.98,0,0,60.4,114.91,210.71,46.31,0,0,0,0,23.16,35.62,47.93,56.13,21.7,21.7,0,180.26,151.96,110.7,0,36.92,93.4,0,84.47,28.24,56.22,28.24,66.37,0,22.13,166.89,224.85,200.88,57.79,29,95.38,0,40.83,29,151.78,0,0,42,0,132.06,106.02,107.47,0,0,193.59,0,140.29,18.79,69.89,77.48,17.65,16.67,0,87.38,164.79,131.42,0,0,185.2,0,0,0,0,0,15.7,15.7,0,176.64,21.65,280.9,21.65,21.65,27.38,0,59.48,0,32.11,15.7,56.48,14.26,15.84,155.42,174.34,85.01,0,0,125.72,0,0,14.26,44.08,0
嘉義縣水上鄉,32.26,0,28.94,127.07,184.32,122.57,0,0,127.07,0,28.94,28.94,103.02,63.34,0,28.45,0,57.42,246.55,122.91,0,28.45,62.08,0,32.38,0,62.08,62.08,31.81,26.63,0,120.45,123.57,177.11,0,0,86.99,0,0,32.09,0,26.63,26.43,0,0,126.92,218.34,79.07,0,0,66.28,0,52.64,0,52.41,87.08,0,26.67,32.96,217.65,77.64,131.12,0,0,0,0,65.92,26.58,75,0,0,0,33.97,144.93,165.32,178.72,0,0,80.05,0,57.01,0,194.3,0,44.99,0,21.91,114.27,213.25,119.99,0,0,247.67,0,21.91,73.18,69.89,34.94,0,21.78,0,144.59,316.27,200.79,0,61.02,64.83,0,44.03,21.78,63.8,39,0,21.05,21.05,134.26,151.44,109.14,0,21.05,190.34,0,78.5,38.23,76.67,0,65.19,17.15,0,61.7,177.55,122.65,26.62,43.77,120.09,0,86.61,0,178.52,0
嘉義縣太保市,0,53.8,0,148.37,189.12,54.33,0,58.26,58.26,0,157.46,58.26,45.06,58.26,50.12,100.51,40.83,178.91,232.46,307.84,0,59.68,59.68,0,112.45,100.51,90.95,0,0,45.47,119.99,82.73,297.62,161.25,44.89,57.89,102.78,0,103.36,0,234.95,0,0,0,37.64,56.11,112.23,56.11,0,0,93.75,0,82.62,37.64,0,0,0,0,0,213.58,296,163.01,91.68,46.34,0,0,46.34,41.11,128.55,41.11,34.19,0,34.19,396.69,312.62,34.91,46.42,34.91,0,0,46.42,134.89,0,0,0,0,33.81,297.2,416.7,180.08,33.81,0,206.51,0,33.81,0,96.46,33.81,0,0,34.65,149.37,182.79,27.86,0,0,125.9,0,113.5,0,81.5,0,45.02,0,45.02,118.17,159.57,172.31,0,0,45.02,0,89.89,69.03,28.14,0,29.87,0,0,211.11,300.99,119.31,0,0,96.02,0,26.58,29.87,319.21,59.73
嘉義縣溪口鄉,0,0,0,315.14,260.42,0,0,0,70.9,0,55.32,0,55.32,70.9,70.76,0,0,127.22,349.48,59.49,0,127.22,0,0,0,107.96,0,0,0,0,0,175.1,282.4,177.57,0,71.88,166.01,0,0,0,0,0,0,0,0,206.43,384.92,0,0,0,0,0,55.09,49.71,101.63,153.73,0,140.97,0,308.93,157.87,195.33,0,0,0,0,130.29,0,47.21,204.8,56.36,0,0,155.87,220.37,47.11,138.03,0,147.52,0,99.51,0,0,0,121.47,0,121.47,262.08,504.24,57.08,43.04,0,136.79,0,0,43.04,41.76,41.76,0,0,0,167.07,162.86,82.96,0,0,0,0,0,0,0,0,0,176.74,0,169.42,329.52,128.22,0,0,0,0,0,37.85,42.74,0,0,35.18,128.41,197.46,197.42,351.17,0,0,189.07,0,59.75,171.15,119.51,0
嘉義縣新港鄉,0,32.04,32.04,161.4,337.97,266.73,0,0,31.49,0,34.35,0,130.31,98.27,30.91,168.58,33.72,130.24,156.01,189.06,0,0,111.94,0,33.88,30.91,152.46,58.82,0,0,0,197.27,223.2,130,0,0,30.84,0,0,41.34,72.52,41.34,0,53.57,0,154.33,83.68,30.11,0,0,27.72,0,0,0,42,0,0,56.06,0,187,258.11,104.35,0,0,155.02,0,42.99,68.63,55.97,27.61,0,55.52,112.03,310.81,199.41,179.3,0,45,23.25,0,45,31.45,23.25,23.25,68.78,23.7,79.2,252.6,292.1,149.46,23.7,0,47.64,23.7,0,0,150.53,0,0,23.3,23.3,161.26,176.86,223.63,32.29,32.29,0,0,19.7,0,103.64,0,0,22.47,76.04,157.27,125.15,65.68,22.47,0,73.31,0,19.74,19.74,117.52,0,0,22.78,67.33,126.46,300.14,150.48,0,33.66,0,0,22.78,0,33.66,52.72
嘉義縣義竹鄉,0,81.3,0,205.23,290.69,49.17,0,0,36.95,0,35.41,0,120.65,0,90.24,65.8,39.98,156.04,196.02,163.13,0,0,0,0,39.98,0,39.98,0,0,122.53,38.88,189.86,283.94,112.83,0,0,0,0,77.77,0,71.15,67.33,0,75.47,0,168.81,148.94,103.01,32.38,32.9,55.6,0,30.49,0,163.97,55.6,0,146.4,0,161.5,658.52,181.09,0,38.83,0,0,87.22,0,134.64,0,0,31.27,0,148.18,236.55,31.27,0,60.37,0,0,0,0,31.27,27.61,0,0,31.43,63.22,101.69,167.65,0,0,108.91,0,151.66,0,38.83,0,0,55.36,0,132.31,120.01,282.95,0,0,181.74,0,80.08,0,124.36,39.92,24.72,0,29.55,97.34,54.27,115.68,0,29.55,50.88,0,50.88,0,43.06,0,0,44.79,44.79,223.11,239.62,59.1,0,0,89.58,0,29.55,0,65,89.58
嘉義縣中埔鄉,0,50.12,0,213.96,234.42,101.83,0,66.93,69.77,0,77.1,0,31.64,38.55,0,29.94,68.86,68.86,290.56,99.52,29.94,0,119.36,0,0,49.78,38.92,188.22,0,0,0,95.63,317.3,212.6,60.09,0,106.57,0,96.06,0,72.83,30.04,0,30.49,65.61,69.08,186.38,66.17,38.59,0,165.74,0,38.59,0,54.6,0,0,98.69,50.88,123.08,266.13,140.48,0,0,104.48,0,88.36,67.24,104.48,31.23,25.23,37.52,0,278.28,234.36,98.99,93.49,24.34,0,0,28.03,25.23,73.9,25.23,31.09,0,70.55,268.08,132.99,80.58,0,0,211.66,0,23.91,25.58,62.18,23.2,0,23.51,43.38,170.7,205.05,259.48,0,0,96.94,0,87.6,23.51,52.08,23.51,20.07,42.99,0,183.36,309.75,257.28,20.07,0,288.45,0,0,0,23.88,72.54,42.74,0,0,199.77,190.19,175.75,52.79,24.46,99.4,0,19.09,56.66,0,42.74
嘉義縣竹崎鄉,0,70.5,0,116.89,293.17,31.64,38.96,0,70.6,0,70.5,0,38.96,0,0,0,71.09,167.99,329.23,142.18,28.99,0,28.99,0,0,89.73,107.25,78.26,65.14,32.57,0,92.56,178.53,91.34,27.43,0,151.33,0,62.69,31.34,78.85,31.34,40.56,0,40.56,0,398.14,56.22,0,0,102.05,0,30.74,0,93.36,31.31,0,28.36,0,55.79,321.16,145.19,25.27,0,0,0,56.29,0,111.58,0,0,0,30.77,98.97,252.95,119.17,43.14,43.14,129.74,0,0,43.14,43.14,43.14,0,25.09,0,267.78,308.16,203.17,46.84,0,243.49,0,22.35,46.84,108.88,25.09,0,92.46,31.53,210.12,281.64,150.08,81.85,0,50.32,0,0,56.38,31.53,0,0,51.17,0,76.92,108.73,83.64,0,0,103.19,0,19.74,0,51.17,70.91,19.1,0,56.95,176.02,230.81,114.38,56.95,23.79,33.16,0,23.79,0,19.22,0